#,Feature Group,Severity,File(s),Bug Description,Fix Applied
1,Auth & User Management,Critical,client/src/pages/Login.tsx,Double HTTP request on admin login — Login.tsx made a direct axios.post AND called login() which made a second identical request; first token was silently discarded,Admin login now delegates entirely to AuthContext.login(); no direct axios.post in Login.tsx
2,Auth & User Management,Critical,client/src/pages/Login.tsx,Token/user destructured from wrong response shape — admin endpoint returns { token user } but code destructured { token driver } so user was always undefined,Fixed destructure to use correct shape per role
3,Auth & User Management,Low,client/src/pages/Login.tsx,Dead unreachable else branch — inner if(role==='driver') was always true making '/admin-home' redirect dead code,Removed dead code with restructured logic
4,Auth & User Management,Medium,client/src/pages/Login.tsx,No form validation or inline error display — errors shown via alert() only,Added loginError state with inline form error display and blank-field guard
5,Auth & User Management,Low,client/src/contexts/AuthContext.tsx,useEffect for axios header sync had no dependency array — ran on every render,Added [user] as dependency array
6,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,logout() called navigate('/') causing double-navigation race with Logout.tsx page,Removed navigate('/') from logout(); Logout page handles navigation
7,Auth & User Management,Critical,client/src/contexts/AuthContext.tsx,exitOrg() stored literal string 'null' as token when superadmin_token key was missing — corrupted auth state,Added null guard; navigates to /select-org if superadmin_token absent
8,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,switchOrg() could store null as superadmin_token with no active session,Added explicit null guard that throws error if no token present
9,Auth & User Management,High,client/src/contexts/AuthContext.tsx,isInsideOrg and activeOrgName were non-reactive localStorage reads — Navbar org banner never updated after switchOrg/exitOrg,Converted both to useState updated in switchOrg / exitOrg / logout
10,Auth & User Management,Medium,client/src/contexts/AuthContext.tsx,login() swallowed errors with alert() preventing Login.tsx from displaying inline errors,Changed catch block to re-throw error
11,Auth & User Management,Critical,server/controller/authController.js,changePassword never verified old password — any authenticated user could change any password freely,Added bcrypt.compare(oldPassword) check; returns 400 if mismatch
12,Auth & User Management,Critical,server/controller/authController.js,changePassword and getUserProfile manually re-verified JWT instead of using req.user from protect middleware — crashes on cookie-based auth,Replaced manual JWT extraction with User.findById(req.user.id)
13,Auth & User Management,Critical,server/controller/authController.js,changePassword called bcrypt.hash() before save AND model pre-save hook also hashes — double-hash made new password permanently unverifiable,Assign plain newPassword directly; let model hook handle hashing
14,Auth & User Management,Medium,server/controller/authController.js,No minimum password length validation server-side,Added check rejecting passwords shorter than 8 characters with 400 response
15,Auth & User Management,Medium,server/routes/authRoute.js,company_admin and dispatcher blocked from change-password endpoint (only admin and driver allowed) — 403 Forbidden,Updated authorizeRoles to include company_admin and dispatcher
16,Auth & User Management,Medium,client/src/pages/ChangePassword.tsx,Successful password change redirected to '/' (landing page) instead of the user's dashboard,Redirects to /dashboard for drivers; /admin-home for admins/company_admins/dispatchers
17,Auth & User Management,Low,client/src/pages/ChangePassword.tsx,No client-side minimum password length validation,Added newPassword.trim().length < 8 check before submission
18,Auth & User Management,Critical,client/src/pages/ChangePassword.tsx,useEffect auto-filled Current Password field with driver's plain-text stored password — serious security violation,useEffect now only clears all three password fields on driver selection change; no auto-fill
19,Auth & User Management,Low,client/src/pages/Login.tsx,login() swallowed errors with alert() instead of re-throwing to caller,Changed to throw error so Login.tsx handles error display
20,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Field name mismatch broke registration — controller expected companyName/adminName but frontend sends name; every registration failed with 400,Changed to accept name (with companyName as legacy fallback); removed adminName requirement
21,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Plan field from request body never applied to org document — every org silently created with default 'driver' plan regardless of selection,Added plan validation and explicitly set subscription.plan and subscription.status on org at creation
22,Org & Multi-Tenancy,Critical,server/controller/organizationController.js,Double password hashing — controller called bcrypt.hash() then model pre-save hook also hashed — login was impossible for all self-registered users,Removed manual bcrypt.hash() call; pre-save hook handles hashing
23,Org & Multi-Tenancy,High,server/controller/organizationController.js,organizationId missing from registration response user object — AuthContext had no org scope after signup,Added organizationId: organization._id to response user object
24,Org & Multi-Tenancy,High,server/routes/authRoute.js,company_admin and dispatcher blocked from changing password,Added company_admin and dispatcher to allowed roles
25,Org & Multi-Tenancy,Medium,client/src/pages/Navbar.tsx,Org context banner and sticky header both had top:0 — header rendered on top of banner hiding it,Made header top dynamic: top: isInsideOrg ? '33px' : '0'
26,Org & Multi-Tenancy,High,client/src/pages/Navbar.tsx,All notification fetch() calls missing Authorization header — unlike axios fetch doesn't pick up axios.defaults — all returning 401,Added Authorization: Bearer <token> to all four fetch() calls in Navbar
27,Org & Multi-Tenancy,High,client/src/pages/OrgSelector.tsx,Crash if org.subscription is undefined — org.subscription.status accessed without null guard,Added const sub = org.subscription ?? { status: 'trialing' plan: 'bundle' } as defensive fallback
28,Subscription & Billing,Critical,server/src/index.ts,Stripe webhook routes mounted AFTER bodyParser.json() — raw body buffer consumed before express.raw() could see it — every webhook failed signature verification,Moved paymentRoutes and subscriptionRoutes to be mounted BEFORE app.use(bodyParser.json())
29,Subscription & Billing,Critical,server/src/index.ts,Server fallback port was 7000 instead of 8000 — breaking all local dev API connections,Changed fallback to 8000
30,Subscription & Billing,High,server/controller/subscriptionController.js,createCheckout had zero error handling — any Stripe/DB error left the HTTP request hanging,Wrapped in try/catch returning 500; added plan input validation and organizationId null guard
31,Subscription & Billing,High,server/controller/subscriptionController.js,getCurrentSubscription and createBillingPortal had zero error handling,Wrapped both in try/catch returning 500; added organizationId null guards
32,Subscription & Billing,High,server/controller/subscriptionController.js,Expired trial reported as active — if trialEndsAt was past but Stripe webhook missed org treated as trialing (open access to gated features),Added server-side check: if status='trialing' but trialEndsAt < now returns status='inactive'
33,Subscription & Billing,High,server/controller/subscriptionController.js,Webhook: dead getOrgId helper; no try/catch around switch block; missing STRIPE_WEBHOOK_SECRET guard; checkout.session.completed could write undefined to subscription.plan,Removed dead helper; added STRIPE_WEBHOOK_SECRET guard; wrapped switch in try/catch; added plan null guards before DB write
34,Subscription & Billing,High,server/middleware/featureGate.js,No try/catch — DB errors propagated as unhandled rejections,Wrapped DB call in try/catch returning 500
35,Subscription & Billing,High,server/middleware/featureGate.js,Expired trial bypassed feature gate — trialing with past trialEndsAt still treated as active,Added expired-trial detection returning 402 when trialEndsAt < now
36,Subscription & Billing,Low,client/src/pages/Subscription.tsx,No loading state — page was invisible until data loaded with no feedback to user,Added early return with spinner animation when loading is true
37,Subscription & Billing,Low,client/src/pages/Subscription.tsx,Trial countdown showed only date not days remaining; no color warning when expiring soon,Added trialDaysLeft computed value; shows days left in amber when <= 3 days remain
38,Subscription & Billing,Medium,client/src/pages/Subscription.tsx,Plan button showed wrong label — used currentPlan truthiness but org always has default plan; couldn't distinguish trial vs paid,Changed condition to subscription?.stripeSubscriptionId to correctly distinguish paid vs default state
39,Subscription & Billing,Low,client/src/pages/Pricing.tsx,Annual pricing footnote used marginTop: '-40px' overlapping plan cards,Changed to marginTop: '8px' for correct spacing
40,Vehicle Management,Medium,server/model/vehicleModel.js,make / model / year marked required:true — frontend allows blank causing Mongoose 500 errors on valid submissions,Made fields optional with default: '' for strings; unitNumber remains the only required field
41,Vehicle Management,High,server/controller/vehicleController.js,createVehicle missing null guard for organizationId — vehicle created with null org on broken JWT,Added early return with 400 response if organizationId is null
42,Vehicle Management,Critical,server/controller/vehicleController.js,createVehicle spread req.body before setting organizationId — malicious client could inject a different org's ID,Destructured organizationId out of req.body (safeBody) before spread
43,Vehicle Management,Critical,server/controller/vehicleController.js,updateVehicle passed raw req.body to findOneAndUpdate — allowed overwriting organizationId and _id,Stripped organizationId and _id from payload; used { $set: safeBody }
44,Vehicle Management,High,server/controller/vehicleController.js,getVehicleStats sub-queries hardcoded req.organizationId instead of using getOrgFilter — platform admin saw no data,Reused getOrgFilter(req) spread into both sub-queries
45,Vehicle Management,High,server/routes/vehicleRoute.js,GET routes had no authorizeRoles guard — any authenticated role including driver could read vehicle data,Added authorizeRoles('admin' 'company_admin' 'dispatcher') to all three read routes
46,Vehicle Management,High,server/routes/vehicleRoute.js,PUT route missing uploadVehiclePhotos middleware — photo uploads on edit silently ignored,Added uploadVehiclePhotos.array('photos' 5) to the PUT route
47,Vehicle Management,High,client/src/pages/Vehicles.tsx,Stale token closure — headers built from localStorage once at mount; re-login would use old token in all calls,Replaced with getHeaders() helper called fresh inside each API call
48,Vehicle Management,Low,client/src/pages/Vehicles.tsx,fetchVehicles not memoized; missing from useEffect dependency array,Wrapped in useCallback and added to useEffect dependency array
49,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,No safety check that API response is array — crash if API returns non-array,Added Array.isArray(res.data) ? res.data : [] guard
50,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,odometer field used loose falsy check — value of '0' stripped from payload,Fixed with explicit !== '' check
51,Vehicle Management,Low,client/src/pages/Vehicles.tsx,Notes textarea placed outside formGrid div — gridColumn: '1 / -1' CSS had no effect,Moved Notes div inside formGrid closing tag
52,Vehicle Management,Medium,client/src/pages/Vehicles.tsx,Delete button had no loading guard — double-click fired multiple concurrent DELETE requests,Added deleting state that prevents re-entry and disables buttons during operation
53,Maintenance & Parts,Critical,server/src/index.ts,PM route mounted at /api/preventive-maintenance but frontend calls /api/pm/* — all PM operations returned 404,Changed mount path from /api/preventive-maintenance to /api/pm
54,Maintenance & Parts,Medium,server/controller/maintenanceController.js,getDueAlerts used current timestamp — records scheduled earlier the same day excluded from alerts,Changed to start-of-day (setHours(0 0 0 0)) so all today's records included
55,Maintenance & Parts,Medium,server/controller/serviceHistoryController.js,Date sort produced NaN when date was null/undefined — sort order broken,Added null guard using ternary before subtracting dates
56,Maintenance & Parts,High,server/controller/warrantyController.js,updateClaim used $set: { 'claims.$': req.body } — overwrote entire subdocument discarding fields not in req.body,Build setFields dynamically using claims.$.fieldName dot-path keys for only present fields
57,Maintenance & Parts,Medium,client/src/pages/PreventiveMaintenance.tsx,handleSaveTemplate sent form without checking name was non-empty — Mongoose required error surfaced as silent 500,Added if (!templateForm.name.trim()) guard with alert()
58,Maintenance & Parts,Medium,client/src/pages/PreventiveMaintenance.tsx,handleSaveSchedule sent without checking vehicleId or templateId,Added guards for both required fields
59,Maintenance & Parts,Medium,client/src/pages/PreventiveMaintenance.tsx,All mutation handlers used fetch without checking response.ok — server errors silently ignored,Added res.ok check with alert(data.message) on failure for all handlers
60,Maintenance & Parts,Medium,client/src/pages/Parts.tsx,No required-field validation before save; no stock check before use; all handlers swallowed server errors,Added name validation; qty > stock guard; res.ok checks with alert() on all three handlers
61,Maintenance & Parts,Medium,client/src/pages/Warranties.tsx,vehicleId/title/startDate/expiryDate all required in schema but no frontend validation — unhandled 500s; no date ordering check; handleAddClaim missing required checks,Added guards for all required fields; date ordering check; res.ok checks with alert()
62,Driver Management,Critical,server/controller/driverController.js,create stored passwords as plaintext — driverLogin uses bcrypt.compare() so manually created drivers could never log in,Added bcrypt.hash(password 10) before save; added duplicate username check
63,Driver Management,Critical,server/controller/driverController.js,updateDriverById had no org scoping — any org's admin could update other orgs' drivers,Changed to findOneAndUpdate({ _id ...orgFilter })
64,Driver Management,Critical,server/controller/driverController.js,deleteDriverById had no org scoping — any org's admin could delete other orgs' drivers,Changed to findOneAndDelete({ _id ...orgFilter })
65,Driver Management,Critical,server/controller/driverController.js,getDriverById had no org scoping,Changed to findOne({ _id ...orgFilter })
66,Driver Management,High,server/controller/driverController.js,getAllDrivers returned HTTP 404 on empty list — frontend treated it as error and showed demo data,Changed to always return 200 [] on empty list
67,Driver Management,High,server/controller/driverApplicationController.js,approveDriverApplication checked email uniqueness globally instead of per-org — prevented approving valid cross-org duplicates,Changed to Driver.findOne({ email ...orgFilter })
68,Driver Management,Low,server/controller/driverApplicationController.js,approveDriverApplication wrote application.username and application.password fields not defined in Mongoose schema — silently dropped,Removed dead assignments
69,Driver Management,Critical,server/routes/driverRoute.js + driverApplicationRoute.js + paymentRoute.js,requireDriverModule feature gate completely absent from all three route files — any plan accessed driver management,Added requireDriverModule to every protected driver-related route
70,Driver Management,High,server/routes/driverRoute.js,Multer errors on /submit were unhandled — file-too-large / wrong MIME type propagated as unhandled exceptions,Wrapped in error-catching callback returning 400 with error message
71,Driver Management,Critical,server/controller/paymentController.js,initiatePayout built { $in: undefined } when resolvedTimesheetIds empty — MongoDB rejected the query,Added guard; only adds _id: { $in: [...] } clause when array is non-empty
72,Driver Management,High,client/src/pages/Drivers.tsx,All API calls missing Authorization header — all returning 401,Added Authorization: Bearer <token> header to all requests
73,Driver Management,High,client/src/pages/Drivers.tsx,createDriver() made second unauthorized call to /api/auth/register — wrong auth system for drivers,Removed the second /api/auth/register call entirely
74,Driver Management,Medium,client/src/pages/Drivers.tsx,filteredData search crashed on null/undefined contact field,Fixed with (driver.contact || '').toLowerCase()
75,Driver Management,Low,client/src/pages/Drivers.tsx,CRUD errors silently swallowed into console.error — no user feedback,Added alert() calls on create/update/delete failures
76,Driver Management,High,client/src/pages/DriverPayments.tsx,Auth token captured once at render — stale token used after org switch,Replaced with getAuthHeaders() helper called at time of each request
77,Driver Management,Medium,client/src/pages/DriverPayments.tsx,handleCalculate() sent request with empty date strings when periodFrom/periodTo blank,Added guard that alerts user if either date is missing
78,Driver Management,Low,client/src/pages/DriverPayments.tsx,res.data.length > 0 check throws if API returns non-array,Changed to Array.isArray(res.data) && res.data.length > 0
79,Driver Management,Low,client/src/pages/DriverApplications.tsx,Approve/Reject modal buttons used tiny icon-button styles — visually broken in modal,Added approveModalButton / rejectModalButton styles with proper full-button sizing
80,Driver Management,Medium,client/src/pages/DriverApplications.tsx,Rejection adminNotes requirement not enforced client-side — HTML5 required bypassed by click handler,Added explicit if (!adminNotes.trim()) check before submission
81,Driver Management,Medium,client/src/pages/DriverApplications.tsx,File URL constructed with fragile API_BASE_URL.replace('/api' '') — fails if URL doesn't end with /api,Switched to canonical FILE_BASE_URL from utils/env.ts
82,Scheduling & Dispatch,Critical,server/src/index.ts,schedulingRoute.js never imported or mounted — every /api/scheduling/* request returned 404,Added import and app.use('/api/scheduling' schedulingRoutes)
83,Scheduling & Dispatch,High,server/src/index.ts,express.static('uploads') used relative path — breaks depending on working directory,Changed to express.static(path.join(__dirname '../../uploads')) with path import
84,Scheduling & Dispatch,Critical,server/routes/uploadRoute.js,Zero authentication on upload/dispatch endpoints — anyone unauthenticated could upload files or read all orgs' data,Added protect middleware and authorizeRoles to all routes
85,Scheduling & Dispatch,Critical,server/controller/uploadController.js,Dispatch.find() had no org filter — company_admin saw all orgs' dispatch data,getDispatches now uses getOrgFilter(req)
86,Scheduling & Dispatch,Critical,server/controller/uploadController.js,Dispatch.insertMany() never set organizationId — all dispatch records permanently orphaned from any tenant,Added req.organizationId spread onto every inserted record
87,Scheduling & Dispatch,High,server/controller/uploadController.js,Multer file-type rejection errors crashed route with no JSON response,Wrapped multer call in custom middleware catching callback error; returns 400 JSON
88,Scheduling & Dispatch,High,server/controller/uploadController.js,PDF parsing errors left uploaded files on disk and sent no response — hanging connection,Wrapped pdfParser_dataReady body in try/catch; added best-effort file cleanup in all error paths
89,Scheduling & Dispatch,High,server/controller/schedulingController.js,scheduleMaintenanceEvent used req.organizationId directly — null for platform admins causing Mongoose validation errors; also spread raw req.body to DB,organizationId derived from vehicle.organizationId; only known fields written to DB
90,Scheduling & Dispatch,Medium,server/controller/schedulingController.js,Missing required field validation on schedule creation — blank fields surfaced as unformatted 500s,Added explicit presence checks returning 400 with descriptive messages
91,Scheduling & Dispatch,Low,server/controller/schedulingController.js,Date sort used implicit Date - Date coercion instead of .getTime() — TypeScript strict mode error,Changed both sort comparators to use .getTime()
92,Scheduling & Dispatch,High,client/src/pages/Scheduling.tsx,Calendar date comparison used local-time getDate() on UTC dates — events rendered on wrong day in negative UTC-offset timezones,Switched to getUTCFullYear() / getUTCMonth() / getUTCDate() in getEventsForDay
93,Scheduling & Dispatch,High,client/src/pages/Scheduling.tsx,handleSchedule closed modal and cleared form before awaiting API response — silent data loss on server errors,Added res.ok check; moved setSaving(false) to finally block; added client-side validation
94,Scheduling & Dispatch,High,client/src/pages/Scheduling.tsx,headers object recreated every render caused stale token in useCallback with empty dependency array,Wrapped headers in useMemo; added headers to fetchCalendar dependency array
95,Scheduling & Dispatch,Medium,client/src/pages/Scheduling.tsx,No error state shown on fetch failure — perpetual empty state with no user feedback,Added error state; fetchCalendar sets it on failure; red banner shown in UI
96,Timesheets,Critical,server/routes/timesheetRoute.js,Zero authentication on every endpoint — anyone could create/read/modify/delete timesheets across all orgs,Added protect + authorizeRoles to every route
97,Timesheets,High,server/routes/timesheetRoute.js,POST /send-invoice-email shadowed by GET /:id — Express treated 'send-invoice-email' as timesheet ID; invoice route unreachable,Moved send-invoice-email route above /:id routes
98,Timesheets,Critical,server/controller/timesheetController.js,organizationId always null on creation — protect not applied so req.organizationId never set; every timesheet saved with null org,Fixed by adding protect to route (Bug 96 above)
99,Timesheets,High,server/controller/timesheetController.js,noPagination=true query param silently ignored — MyTimesheet.tsx always got only first 20 records,Added req.query.noPagination check; bypasses skip/limit when 'true'
100,Timesheets,Critical,server/controller/timesheetController.js,driver role users could read all org timesheets — no role-level restriction on getAllTimesheets,When req.user.role === 'driver' query force-scoped to { driver: req.user.email }
101,Timesheets,Medium,server/controller/timesheetController.js,Duplicate extraWorkSheetComments key in createTimesheet — JS silently uses last value discarding first,Merged both sources into single key
102,Timesheets,Medium,server/controller/timesheetController.js,extraWorkComments field doesn't exist in Mongoose model — wrong field name in normalizeTimesheet,Changed to use only obj.extraWorkSheetComments
103,Timesheets,Low,server/controller/timesheetController.js,Timesheets not sorted — results returned in insertion order,Added .sort({ date: -1 }) for both paginated and non-paginated queries
104,Timesheets,High,client/src/pages/MyTimesheet.tsx,Client-side email filter applied after pagination — drivers with >20 timesheets but none in first 20 saw nothing,Backend now forces driver email filter server-side; removed client-side email filtering
105,Timesheets,Medium,client/src/pages/MyTimesheet.tsx,Response shape handled inconsistently — response.data.data assumed always present,Added || response.data fallback and Array.isArray() guard
106,Timesheets,Medium,client/src/pages/MyTimesheet.tsx,totalHours column had both accessorKey and custom cell renderer causing conflicts; overnight shift calculation broken,Changed to id: 'totalHours'; cell renderer uses stored value; fixed overnight shift calculation with minute arithmetic
107,Timesheets,Medium,client/src/pages/AllTimesheets.tsx,Triple API call on mount — three separate useEffect hooks all called fetchTimesheets() on initial mount,Removed two redundant useEffect fetchTimesheets() calls
108,Timesheets,Low,client/src/pages/AllTimesheets.tsx,Stale error message never cleared on re-fetch — old error banner persisted after successful subsequent fetches,Added setError(null) and setLoading(true) at top of fetchTimesheets
109,Timesheets,Low,client/src/pages/AllTimesheets.tsx,Page number not reset when period filter changes,Added setPage(1) to handleFilterChange
110,Timesheets,Medium,client/src/pages/DetailedTimesheet.tsx,useLocation() not imported — location.search resolved to window.location (browser global) instead of React Router location,Added useLocation import from react-router-dom; consumed via hook
111,Operations & Finance,Critical,server/src/index.ts,costTrackingRoute.js never imported or mounted — every /api/costs/* request returned 404,Added import and app.use('/api/costs' costTrackingRoutes)
112,Operations & Finance,High,server/controller/fuelLogController.js,mongoose.Types.ObjectId() called without new — deprecated and throws TypeError in Mongoose 7+,Changed to new mongoose.Types.ObjectId(vehicleId)
113,Operations & Finance,High,server/controller/fuelLogController.js,$unwind used preserveNullAndEmpty (typo) instead of preserveNullAndEmptyArrays — vehicles without fuel logs dropped from stats,Fixed to preserveNullAndEmptyArrays
114,Operations & Finance,High,server/controller/fuelLogController.js,updateFuelLog never recalculated totalCost when litres or pricePerLitre changed — stale totals,Fetch existing doc; merge new values; compute totalCost = litres * pricePerLitre before save
115,Operations & Finance,Medium,server/model/fuelLogModel.js,odometer marked required:true but frontend makes it optional — every log without odometer reading failed validation,Removed required:true constraint
116,Operations & Finance,Medium,client/src/pages/FuelLogs.tsx,Stats field name mismatch — API returns fillUps but frontend read totalFillUps — always undefined,Fixed with s.fillUps ?? s.totalFillUps fallback
117,Operations & Finance,Medium,client/src/pages/FuelLogs.tsx,Date display off-by-one — ISO dates parsed as UTC midnight then converted to local time shifting date backward west of UTC,Added { timeZone: 'UTC' } to toLocaleDateString() calls
118,Operations & Finance,Medium,client/src/pages/Inspections.tsx,Date display off-by-one — same UTC timezone issue as FuelLogs,Added { timeZone: 'UTC' } to toLocaleDateString() calls
119,Operations & Finance,Low,client/src/pages/Inspections.tsx,View modal never showed general notes field entered during submission,Added notes section below checklist in view modal
120,Operations & Finance,Low,client/src/pages/Inspections.tsx,driverId column showed nothing for non-populated string IDs,Added fallback to display raw string value if population didn't occur
121,Operations & Finance,Critical,client/src/pages/Invoice.tsx,fetchDrivers() sent no Authorization header — all driver fetches returning 401,Added Authorization: Bearer <token> header
122,Operations & Finance,Critical,client/src/pages/Invoice.tsx,fetchCategoryRates() sent no Authorization header,Added Authorization: Bearer <token> header
123,Operations & Finance,Critical,client/src/pages/Invoice.tsx,Timesheets fetch inside handleDriverChange sent no Authorization header,Added Authorization: Bearer <token> header
124,Operations & Finance,High,client/src/pages/Invoice.tsx,generateAndSendPDF() used KM-based calculation while download PDF used hours-based — two PDFs produced completely different totals,Fixed generateAndSendPDF to use same hours-based logic as generatePDF; filtered to approved timesheets only
125,Operations & Finance,Medium,client/src/pages/Invoice.tsx,Send Invoice as Email button visually disabled but still clickable — no disabled prop,Added disabled={isGenerateDisabled} prop to prevent invocation
126,Operations & Finance,High,client/src/pages/Accounts.tsx,Missing <Navbar /> — page had no navigation bar making it impossible to navigate away,Added Navbar import and rendered at top of page
127,Operations & Finance,Medium,client/src/pages/CostTracking.tsx,fetch() never checked non-2xx responses — expired token silently treated as empty data,Added explicit !res.ok check throwing before .json() so catch block handles correctly
128,Dashboard & Public Pages,Critical,server/src/index.ts,partRoute / warrantyRoute / serviceHistoryRoute / pmRoute all never imported or mounted — Parts / Warranties / Service History / PM API all returning 404,Added imports and app.use() mounts for all four missing route files
129,Dashboard & Public Pages,High,server/controller/notificationController.js,createNotification used req.organizationId (doesn't exist) instead of req.user?.organizationId — notifications never org-scoped,Changed to req.user?.organizationId || null
130,Dashboard & Public Pages,High,server/routes/contactRoute.js,GET /api/contacts had no auth middleware — all contact form submissions publicly readable,Added protect and authorizeRoles('admin' 'company_admin' 'dispatcher') to GET route
131,Dashboard & Public Pages,High,client/src/pages/Enquiries.tsx,Contacts fetch missing Authorization header (now that route is protected); no empty-state UI; unstable row keys,Added auth header; added 'No enquiries yet.' empty state; changed row key to entry._id
132,Dashboard & Public Pages,High,client/src/pages/MyInfo.tsx,All three driver API calls and timesheet fetch missing Authorization header,Added Authorization: Bearer <token> header to all calls
133,Dashboard & Public Pages,Critical,client/src/pages/Dashboard.tsx,Timesheet POST (both JSON and FormData paths) missing Authorization header — all driver submissions returning 401,Added Authorization: Bearer <token> to both submission headers
134,Dashboard & Public Pages,Medium,client/src/pages/AdminHome.tsx,Dashboard showed only subscription status — no live fleet stats (vehicle count driver count pending timesheets),Added parallel fetchStats() using Promise.allSettled; renders stat cards for Total Vehicles / Drivers / Pending Timesheets
135,Dashboard & Public Pages,High,client/src/pages/Landing.tsx,All CTA buttons navigated to /company-register which doesn't exist — correct route is /register,Changed all navigate('/company-register') calls to navigate('/register')
136,Dashboard & Public Pages,Critical,client/src/components/ProtectedRoute.tsx,Unauthenticated users redirected to '/' instead of '/login' — confusing UX loop,Changed unauthenticated redirect target to /login
137,Dashboard & Public Pages,High,client/src/components/ProtectedRoute.tsx,Role failure always redirected to /admin-home — redirect loop for driver role,Added role-aware redirect: drivers go to /dashboard
138,Dashboard & Public Pages,High,client/src/components/ProtectedRoute.tsx,Platform admin with no organizationId could enter org-scoped routes — API calls silently failing with no org context,Added explicit guard redirecting to /select-org if admin has no organizationId
139,Dashboard & Public Pages,Medium,client/src/App.tsx,Contact Us page restricted to driver role only — company_admin and dispatcher users got 403,Changed to <ProtectedRoute> with no role requirement
